uri,om_funcionamiento,om_proteccion,om_tipoLuz,om_materialS,geo_long,om_potencia,om_tipoLampara,geo_lat,om_altura,om_tipoSoporte,om_circuitos,om_materialL
http://opendata.caceres.es/recurso/energia/farolas/Farola/11142,S,F,E,F,-6.391652113655724,250,VMCC,39.470923900738086,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11143,S,F,E,F,-6.391710843035333,250,VMCC,39.470913911026834,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11144,S,F,E,F,-6.391375417575946,250,VMCC,39.47100814754225,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11145,S,F,E,F,-6.39144539690555,250,VMCC,39.470989931397625,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11146,S,F,E,F,-6.393237045612298,125,VMCC,39.47200787019923,5,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11147,S,F,E,F,-6.393313500717097,125,VMCC,39.47199000629958,5,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11148,S,F,E,F,-6.39326532416446,125,VMCC,39.47212038684011,5,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11149,S,F,E,F,-6.393323332315313,125,VMCC,39.47211329719991,5,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11150,S,F,E,F,-6.393295283895372,125,VMCC,39.4723811857917,5,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11151,S,F,E,F,-6.393367820162188,125,VMCC,39.47237162477157,5,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11152,S,F,E,F,-6.393948666230028,125,VMCC,39.47114412475947,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11153,S,F,E,F,-6.394007607584208,125,VMCC,39.47112848470192,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11154,S,F,E,F,-6.393720086443948,125,VMCC,39.471209669204086,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11155,S,F,E,F,-6.393775276842972,125,VMCC,39.471196772110694,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11156,S,F,E,F,-6.393458180116067,125,VMCC,39.471288599643074,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11157,S,F,E,F,-6.393517015029524,125,VMCC,39.47127578531874,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11158,S,F,E,F,-6.393188878849623,125,VMCC,39.471370190570475,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11159,S,F,E,F,-6.393247715036041,125,VMCC,39.47135737641266,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11160,S,F,E,F,-6.392967481091294,125,VMCC,39.471438721586544,5,C,3,P
